nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,ni_syscall,todo,,,,,,,,
1,exit,ok,long,1,int error_code,,,,,
2,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
3,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
4,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
5,close,ok,long,1,unsigned int fd,,,,,
6,creat,ok,long,2,const char * pathname,umode_t mode,,,,
7,link,ok,long,2,const char * oldname,const char * newname,,,,
8,unlink,ok,long,1,const char * pathname,,,,,
9,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
10,chdir,ok,long,1,const char * filename,,,,,
11,fchdir,ok,long,1,unsigned int fd,,,,,
12,utimes,ok,long,2,char * filename,struct __kernel_old_timeval * utimes,,,,
13,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
14,chmod,ok,long,2,const char * filename,umode_t mode,,,,
15,chown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
16,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
17,getpid,ok,long,0,,,,,,
18,getppid,ok,long,0,,,,,,
19,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
20,umount2,ok,long,2,char * name,int flags,,,,
21,setuid,ok,long,1,uid_t uid,,,,,
22,getuid,ok,long,0,,,,,,
23,geteuid,ok,long,0,,,,,,
24,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
25,access,ok,long,2,const char * filename,int mode,,,,
26,sync,ok,long,0,,,,,,
27,fsync,ok,long,1,unsigned int fd,,,,,
28,fdatasync,ok,long,1,unsigned int fd,,,,,
29,kill,ok,long,2,pid_t pid,int sig,,,,
30,rename,ok,long,2,const char * oldname,const char * newname,,,,
31,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
32,rmdir,ok,long,1,const char * pathname,,,,,
33,dup,ok,long,1,unsigned int fildes,,,,,
34,pipe,ok,long,1,int * fildes,,,,,
35,times,ok,long,1,struct tms * tbuf,,,,,
36,brk,ok,long,1,unsigned long brk,,,,,
37,setgid,ok,long,1,gid_t gid,,,,,
38,getgid,ok,long,0,,,,,,
39,getegid,ok,long,0,,,,,,
40,acct,ok,long,1,const char * name,,,,,
41,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
42,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
43,umask,ok,long,1,int mask,,,,,
44,chroot,ok,long,1,const char * filename,,,,,
45,ustat,ok,long,2,unsigned dev,struct ustat * ubuf,,,,
46,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
47,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
48,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
49,getresuid,ok,long,3,uid_t * ruidp,uid_t * euidp,uid_t * suidp,,,
50,setresuid,ok,long,3,uid_t ruid,uid_t euid,uid_t suid,,,
