nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,io_setup,ok,long,2,unsigned nr_events,aio_context_t * ctxp,,,,
1,io_destroy,ok,long,1,aio_context_t ctx,,,,,
2,io_submit,ok,long,3,aio_context_t ctx_id,long nr,struct iocb * * iocbpp,,,
3,io_cancel,ok,long,3,aio_context_t ctx_id,struct iocb * iocb,struct io_event * result,,,
5,setxattr,ok,long,5,const char * pathname,const char * name,const void * value,size_t size,int flags,
6,lsetxattr,ok,long,5,const char * pathname,const char * name,const void * value,size_t size,int flags,
7,fsetxattr,ok,long,5,int fd,const char * name,const void * value,size_t size,int flags,
8,getxattr,ok,long,4,const char * pathname,const char * name,void * value,size_t size,,
9,lgetxattr,ok,long,4,const char * pathname,const char * name,void * value,size_t size,,
10,fgetxattr,ok,long,4,int fd,const char * name,void * value,size_t size,,
11,listxattr,ok,long,3,const char * pathname,char * list,size_t size,,,
12,llistxattr,ok,long,3,const char * pathname,char * list,size_t size,,,
13,flistxattr,ok,long,3,int fd,char * list,size_t size,,,
14,removexattr,ok,long,2,const char * pathname,const char * name,,,,
15,lremovexattr,ok,long,2,const char * pathname,const char * name,,,,
16,fremovexattr,ok,long,2,int fd,const char * name,,,,
17,getcwd,ok,long,2,char * buf,unsigned long size,,,,
18,lookup_dcookie,notimp,,,,,,,,
19,eventfd2,ok,long,2,unsigned int count,int flags,,,,
20,epoll_create1,ok,long,1,int flags,,,,,
21,epoll_ctl,ok,long,4,int epfd,int op,int fd,struct epoll_event * event,,
22,epoll_pwait,ok,long,6,int epfd,struct epoll_event * events,int maxevents,int timeout,const sigset_t * sigmask,size_t sigsetsize
23,dup,ok,long,1,unsigned int fildes,,,,,
24,dup3,ok,long,3,unsigned int oldfd,unsigned int newfd,int flags,,,
25,fcntl64,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
26,inotify_init1,ok,long,1,int flags,,,,,
27,inotify_add_watch,ok,long,3,int fd,const char * pathname,u32 mask,,,
28,inotify_rm_watch,ok,long,2,int fd,__s32 wd,,,,
29,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
30,ioprio_set,ok,long,3,int which,int who,int ioprio,,,
31,ioprio_get,ok,long,2,int which,int who,,,,
32,flock,ok,long,2,unsigned int fd,unsigned int cmd,,,,
33,mknodat,ok,long,4,int dfd,const char * filename,umode_t mode,unsigned int dev,,
34,mkdirat,ok,long,3,int dfd,const char * pathname,umode_t mode,,,
35,unlinkat,ok,long,3,int dfd,const char * pathname,int flag,,,
36,symlinkat,ok,long,3,const char * oldname,int newdfd,const char * newname,,,
37,linkat,ok,long,5,int olddfd,const char * oldname,int newdfd,const char * newname,int flags,
39,umount2,ok,long,2,char * name,int flags,,,,
40,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
41,pivot_root,ok,long,2,const char * new_root,const char * put_old,,,,
42,nfsservctl,notimp,,,,,,,,
43,statfs64,ok,long,3,const char * pathname,size_t sz,struct statfs64 * buf,,,
44,fstatfs64,ok,long,3,unsigned int fd,size_t sz,struct statfs64 * buf,,,
45,truncate64,ok,long,2,const char * path,loff_t length,,,,
46,ftruncate64,ok,long,2,unsigned int fd,loff_t length,,,,
47,fallocate,ok,long,4,int fd,int mode,loff_t offset,loff_t len,,
48,faccessat,ok,long,3,int dfd,const char * filename,int mode,,,
49,chdir,ok,long,1,const char * filename,,,,,
50,fchdir,ok,long,1,unsigned int fd,,,,,
51,chroot,ok,long,1,const char * filename,,,,,
52,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
53,fchmodat,ok,long,3,int dfd,const char * filename,umode_t mode,,,
54,fchownat,ok,long,5,int dfd,const char * filename,uid_t user,gid_t group,int flag,
55,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
56,openat,ok,long,4,int dfd,const char * filename,int flags,umode_t mode,,
57,close,ok,long,1,unsigned int fd,,,,,
58,vhangup,ok,long,0,,,,,,
59,pipe2,ok,long,2,int * fildes,int flags,,,,
60,quotactl,ok,long,4,unsigned int cmd,const char * special,qid_t id,void * addr,,
61,getdents64,ok,long,3,unsigned int fd,struct linux_dirent64 * dirent,unsigned int count,,,
62,llseek,ok,long,5,unsigned int fd,unsigned long offset_high,unsigned long offset_low,loff_t * result,unsigned int whence,
63,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
64,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
65,readv,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
66,writev,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
67,pread64,ok,long,4,unsigned int fd,char * buf,size_t count,loff_t pos,,
68,pwrite64,ok,long,4,unsigned int fd,const char * buf,size_t count,loff_t pos,,
69,preadv,ok,long,5,unsigned long fd,const struct iovec * vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,
70,pwritev,ok,long,5,unsigned long fd,const struct iovec * vec,unsigned long vlen,unsigned long pos_l,unsigned long pos_h,
71,sendfile64,ok,long,4,int out_fd,int in_fd,loff_t * offset,size_t count,,
74,signalfd4,ok,long,4,int ufd,sigset_t * user_mask,size_t sizemask,int flags,,
75,vmsplice,ok,long,4,int fd,const struct iovec * uiov,unsigned long nr_segs,unsigned int flags,,
76,splice,ok,long,6,int fd_in,loff_t * off_in,int fd_out,loff_t * off_out,size_t len,unsigned int flags
77,tee,ok,long,4,int fdin,int fdout,size_t len,unsigned int flags,,
78,readlinkat,ok,long,4,int dfd,const char * pathname,char * buf,int bufsiz,,
79,fstatat64,ok,long,4,int dfd,const char * filename,struct stat64 * statbuf,int flag,,
80,fstat64,ok,long,2,unsigned long fd,struct stat64 * statbuf,,,,
81,sync,ok,long,0,,,,,,
82,fsync,ok,long,1,unsigned int fd,,,,,
83,fdatasync,ok,long,1,unsigned int fd,,,,,
84,sync_file_range,ok,long,4,int fd,loff_t offset,loff_t nbytes,unsigned int flags,,
85,timerfd_create,ok,long,2,int clockid,int flags,,,,
89,acct,ok,long,1,const char * name,,,,,
90,capget,ok,long,2,cap_user_header_t header,cap_user_data_t dataptr,,,,
91,capset,ok,long,2,cap_user_header_t header,const cap_user_data_t data,,,,
92,personality,ok,long,1,unsigned int personality,,,,,
93,exit,ok,long,1,int error_code,,,,,
94,exit_group,ok,long,1,int error_code,,,,,
95,waitid,ok,long,5,int which,pid_t upid,struct siginfo * infop,int options,struct rusage * ru,
96,set_tid_address,ok,long,1,int * tidptr,,,,,
97,unshare,ok,long,1,unsigned long unshare_flags,,,,,
99,set_robust_list,ok,long,2,struct robust_list_head * head,size_t len,,,,
100,get_robust_list,ok,long,3,int pid,struct robust_list_head * * head_ptr,size_t * len_ptr,,,
102,getitimer,ok,long,2,int which,struct __kernel_old_itimerval * value,,,,
103,setitimer,ok,long,3,int which,struct __kernel_old_itimerval * value,struct __kernel_old_itimerval * ovalue,,,
104,kexec_load,ok,long,4,unsigned long entry,unsigned long nr_segments,struct kexec_segment * segments,unsigned long flags,,
105,init_module,ok,long,3,void * umod,unsigned long len,const char * uargs,,,
106,delete_module,ok,long,2,const char * name_user,unsigned int flags,,,,
107,timer_create,ok,long,3,const clockid_t which_clock,struct sigevent * timer_event_spec,timer_t * created_timer_id,,,
109,timer_getoverrun,ok,long,1,timer_t timer_id,,,,,
111,timer_delete,ok,long,1,timer_t timer_id,,,,,
116,syslog,ok,long,3,int type,char * buf,int len,,,
117,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
118,sched_setparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
119,sched_setscheduler,ok,long,3,pid_t pid,int policy,struct sched_param * param,,,
120,sched_getscheduler,ok,long,1,pid_t pid,,,,,
121,sched_getparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
122,sched_setaffinity,ok,long,3,pid_t pid,unsigned int len,unsigned long * user_mask_ptr,,,
123,sched_getaffinity,ok,long,3,pid_t pid,unsigned int len,unsigned long * user_mask_ptr,,,
124,sched_yield,ok,long,0,,,,,,
125,sched_get_priority_max,ok,long,1,int policy,,,,,
126,sched_get_priority_min,ok,long,1,int policy,,,,,
128,restart_syscall,ok,long,0,,,,,,
129,kill,ok,long,2,pid_t pid,int sig,,,,
130,tkill,ok,long,2,pid_t pid,int sig,,,,
131,tgkill,ok,long,3,pid_t tgid,pid_t pid,int sig,,,
132,sigaltstack,ok,long,2,const stack_t * uss,stack_t * uoss,,,,
133,rt_sigsuspend,ok,long,2,sigset_t * unewset,size_t sigsetsize,,,,
134,rt_sigaction,ok,long,4,int sig,const struct sigaction * act,struct sigaction * oact,size_t sigsetsize,,
135,rt_sigprocmask,ok,long,4,int how,sigset_t * nset,sigset_t * oset,size_t sigsetsize,,
136,rt_sigpending,ok,long,2,sigset_t * uset,size_t sigsetsize,,,,
138,rt_sigqueueinfo,ok,long,3,pid_t pid,int sig,siginfo_t * uinfo,,,
139,rt_sigreturn,ok,long,0,,,,,,
140,setpriority,ok,long,3,int which,int who,int niceval,,,
141,getpriority,ok,long,2,int which,int who,,,,
142,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
143,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
144,setgid,ok,long,1,gid_t gid,,,,,
145,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
146,setuid,ok,long,1,uid_t uid,,,,,
147,setresuid,ok,long,3,uid_t ruid,uid_t euid,uid_t suid,,,
148,getresuid,ok,long,3,uid_t * ruidp,uid_t * euidp,uid_t * suidp,,,
149,setresgid,ok,long,3,gid_t rgid,gid_t egid,gid_t sgid,,,
150,getresgid,ok,long,3,gid_t * rgidp,gid_t * egidp,gid_t * sgidp,,,
151,setfsuid,ok,long,1,uid_t uid,,,,,
152,setfsgid,ok,long,1,gid_t gid,,,,,
153,times,ok,long,1,struct tms * tbuf,,,,,
154,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
155,getpgid,ok,long,1,pid_t pid,,,,,
156,getsid,ok,long,1,pid_t pid,,,,,
157,setsid,ok,long,0,,,,,,
158,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
159,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
160,uname,ok,long,1,struct old_utsname * name,,,,,
161,sethostname,ok,long,2,char * name,int len,,,,
162,setdomainname,ok,long,2,char * name,int len,,,,
163,getrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
164,setrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
165,getrusage,ok,long,2,int who,struct rusage * ru,,,,
166,umask,ok,long,1,int mask,,,,,
167,prctl,ok,long,5,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
168,getcpu,ok,long,3,unsigned * cpup,unsigned * nodep,struct getcpu_cache * unused,,,
172,getpid,ok,long,0,,,,,,
173,getppid,ok,long,0,,,,,,
174,getuid,ok,long,0,,,,,,
175,geteuid,ok,long,0,,,,,,
176,getgid,ok,long,0,,,,,,
177,getegid,ok,long,0,,,,,,
178,gettid,ok,long,0,,,,,,
179,sysinfo,ok,long,1,struct sysinfo * info,,,,,
180,mq_open,ok,long,4,const char * u_name,int oflag,umode_t mode,struct mq_attr * u_attr,,
181,mq_unlink,ok,long,1,const char * u_name,,,,,
184,mq_notify,ok,long,2,mqd_t mqdes,const struct sigevent * u_notification,,,,
185,mq_getsetattr,ok,long,3,mqd_t mqdes,const struct mq_attr * u_mqstat,struct mq_attr * u_omqstat,,,
