nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
1,exit,ok,long,1,int error_code,,,,,
2,fork,ok,long,0,,,,,,
3,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
4,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
5,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
6,close,ok,long,1,unsigned int fd,,,,,
7,restart_syscall,ok,long,0,,,,,,
8,creat,ok,long,2,const char * pathname,umode_t mode,,,,
9,link,ok,long,2,const char * oldname,const char * newname,,,,
10,unlink,ok,long,1,const char * pathname,,,,,
11,execve,ok,long,3,const char * filename,const char * const * argv,const char * const * envp,,,
12,chdir,ok,long,1,const char * filename,,,,,
14,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
15,chmod,ok,long,2,const char * filename,umode_t mode,,,,
19,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
20,getpid,ok,long,0,,,,,,
21,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
22,umount,ok,long,2,char * name,int flags,,,,
26,ptrace,ok,long,4,long request,long pid,unsigned long addr,unsigned long data,,
27,alarm,ok,long,1,unsigned int seconds,,,,,
29,pause,ok,long,0,,,,,,
30,utime,ok,long,2,char * filename,struct utimbuf * times,,,,
33,access,ok,long,2,const char * filename,int mode,,,,
34,nice,ok,long,1,int increment,,,,,
36,sync,ok,long,0,,,,,,
37,kill,ok,long,2,pid_t pid,int sig,,,,
38,rename,ok,long,2,const char * oldname,const char * newname,,,,
39,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
40,rmdir,ok,long,1,const char * pathname,,,,,
41,dup,ok,long,1,unsigned int fildes,,,,,
42,pipe,ok,long,1,int * fildes,,,,,
43,times,ok,long,1,struct tms * tbuf,,,,,
45,brk,ok,long,1,unsigned long brk,,,,,
48,signal,ok,long,2,int sig,__sighandler_t handler,,,,
51,acct,ok,long,1,const char * name,,,,,
52,umount2,ok,long,2,char * name,int flags,,,,
54,ioctl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
55,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
57,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
60,umask,ok,long,1,int mask,,,,,
61,chroot,ok,long,1,const char * filename,,,,,
