nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
1,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
2,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
3,close,ok,long,1,unsigned int fd,,,,,
4,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
5,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
6,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
7,poll,ok,long,3,struct pollfd * ufds,unsigned int nfds,int timeout_msecs,,,
8,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
9,mmap,ok,long,6,unsigned long addr,unsigned long len,unsigned long prot,unsigned long flags,unsigned long fd,unsigned long off
10,mprotect,ok,long,3,unsigned long start,size_t len,unsigned long prot,,,
11,munmap,ok,long,2,unsigned long addr,size_t len,,,,
12,brk,ok,long,1,unsigned long brk,,,,,
14,rt_sigprocmask,ok,long,4,int how,sigset_t * nset,sigset_t * oset,size_t sigsetsize,,
17,pread64,ok,long,4,unsigned int fd,char * buf,size_t count,loff_t pos,,
18,pwrite64,ok,long,4,unsigned int fd,const char * buf,size_t count,loff_t pos,,
21,access,ok,long,2,const char * filename,int mode,,,,
22,pipe,ok,long,1,int * fildes,,,,,
23,select,ok,long,5,int n,fd_set * inp,fd_set * outp,fd_set * exp,struct __kernel_old_timeval * tvp,
24,sched_yield,ok,long,0,,,,,,
25,mremap,ok,long,5,unsigned long addr,unsigned long old_len,unsigned long new_len,unsigned long flags,unsigned long new_addr,
26,msync,ok,long,3,unsigned long start,size_t len,int flags,,,
27,mincore,ok,long,3,unsigned long start,size_t len,unsigned char * vec,,,
28,madvise,ok,long,3,unsigned long start,size_t len_in,int behavior,,,
29,shmget,ok,long,3,key_t key,size_t size,int shmflg,,,
30,shmat,ok,long,3,int shmid,char * shmaddr,int shmflg,,,
31,shmctl,ok,long,3,int shmid,int cmd,struct shmid_ds * buf,,,
32,dup,ok,long,1,unsigned int fildes,,,,,
33,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
34,pause,ok,long,0,,,,,,
35,nanosleep,ok,long,2,struct __kernel_timespec * rqtp,struct __kernel_timespec * rmtp,,,,
36,getitimer,ok,long,2,int which,struct __kernel_old_itimerval * value,,,,
37,alarm,ok,long,1,unsigned int seconds,,,,,
38,setitimer,ok,long,3,int which,struct __kernel_old_itimerval * value,struct __kernel_old_itimerval * ovalue,,,
39,getpid,ok,long,0,,,,,,
40,sendfile,ok,long,4,int out_fd,int in_fd,off_t * offset,size_t count,,
41,socket,ok,long,3,int family,int type,int protocol,,,
42,connect,ok,long,3,int fd,struct sockaddr * uservaddr,int addrlen,,,
43,accept,ok,long,3,int fd,struct sockaddr * upeer_sockaddr,int * upeer_addrlen,,,
44,sendto,ok,long,6,int fd,void * buff,size_t len,unsigned int flags,struct sockaddr * addr,int addr_len
48,shutdown,ok,long,2,int fd,int how,,,,
49,bind,ok,long,3,int fd,struct sockaddr * umyaddr,int addrlen,,,
50,listen,ok,long,2,int fd,int backlog,,,,
51,getsockname,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
52,getpeername,ok,long,3,int fd,struct sockaddr * usockaddr,int * usockaddr_len,,,
53,socketpair,ok,long,4,int family,int type,int protocol,int * usockvec,,
56,clone,ok,long,5,unsigned long clone_flags,unsigned long newsp,int * parent_tidptr,int * child_tidptr,unsigned long tls,
57,fork,ok,long,0,,,,,,
58,vfork,ok,long,0,,,,,,
60,exit,ok,long,1,int error_code,,,,,
61,wait4,ok,long,4,pid_t upid,int * stat_addr,int options,struct rusage * ru,,
62,kill,ok,long,2,pid_t pid,int sig,,,,
63,uname,ok,long,1,struct old_utsname * name,,,,,
64,semget,ok,long,3,key_t key,int nsems,int semflg,,,
65,semop,ok,long,3,int semid,struct sembuf * tsops,unsigned nsops,,,
66,semctl,ok,long,4,int semid,int semnum,int cmd,unsigned long arg,,
67,shmdt,ok,long,1,char * shmaddr,,,,,
68,msgget,ok,long,2,key_t key,int msgflg,,,,
69,msgsnd,ok,long,4,int msqid,struct msgbuf * msgp,size_t msgsz,int msgflg,,
70,msgrcv,ok,long,5,int msqid,struct msgbuf * msgp,size_t msgsz,long msgtyp,int msgflg,
71,msgctl,ok,long,3,int msqid,int cmd,struct msqid_ds * buf,,,
72,fcntl,ok,long,3,unsigned int fd,unsigned int cmd,unsigned long arg,,,
73,flock,ok,long,2,unsigned int fd,unsigned int cmd,,,,
74,fsync,ok,long,1,unsigned int fd,,,,,
75,fdatasync,ok,long,1,unsigned int fd,,,,,
76,truncate,ok,long,2,const char * path,long length,,,,
77,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
78,getdents,ok,long,3,unsigned int fd,struct linux_dirent * dirent,unsigned int count,,,
79,getcwd,ok,long,2,char * buf,unsigned long size,,,,
80,chdir,ok,long,1,const char * filename,,,,,
81,fchdir,ok,long,1,unsigned int fd,,,,,
82,rename,ok,long,2,const char * oldname,const char * newname,,,,
83,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
84,rmdir,ok,long,1,const char * pathname,,,,,
85,creat,ok,long,2,const char * pathname,umode_t mode,,,,
86,link,ok,long,2,const char * oldname,const char * newname,,,,
87,unlink,ok,long,1,const char * pathname,,,,,
88,symlink,ok,long,2,const char * oldname,const char * newname,,,,
89,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
90,chmod,ok,long,2,const char * filename,umode_t mode,,,,
91,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
92,chown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
93,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
94,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
95,umask,ok,long,1,int mask,,,,,
96,gettimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
97,getrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
98,getrusage,ok,long,2,int who,struct rusage * ru,,,,
99,sysinfo,ok,long,1,struct sysinfo * info,,,,,
100,times,ok,long,1,struct tms * tbuf,,,,,
102,getuid,ok,long,0,,,,,,
103,syslog,ok,long,3,int type,char * buf,int len,,,
104,getgid,ok,long,0,,,,,,
105,setuid,ok,long,1,uid_t uid,,,,,
106,setgid,ok,long,1,gid_t gid,,,,,
107,geteuid,ok,long,0,,,,,,
108,getegid,ok,long,0,,,,,,
109,setpgid,ok,long,2,pid_t pid,pid_t pgid,,,,
110,getppid,ok,long,0,,,,,,
111,getpgrp,ok,long,0,,,,,,
112,setsid,ok,long,0,,,,,,
113,setreuid,ok,long,2,uid_t ruid,uid_t euid,,,,
114,setregid,ok,long,2,gid_t rgid,gid_t egid,,,,
115,getgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
116,setgroups,ok,long,2,int gidsetsize,gid_t * grouplist,,,,
117,setresuid,ok,long,3,uid_t ruid,uid_t euid,uid_t suid,,,
118,getresuid,ok,long,3,uid_t * ruidp,uid_t * euidp,uid_t * suidp,,,
119,setresgid,ok,long,3,gid_t rgid,gid_t egid,gid_t sgid,,,
120,getresgid,ok,long,3,gid_t * rgidp,gid_t * egidp,gid_t * sgidp,,,
121,getpgid,ok,long,1,pid_t pid,,,,,
122,setfsuid,ok,long,1,uid_t uid,,,,,
123,setfsgid,ok,long,1,gid_t gid,,,,,
124,getsid,ok,long,1,pid_t pid,,,,,
125,capget,ok,long,2,cap_user_header_t header,cap_user_data_t dataptr,,,,
126,capset,ok,long,2,cap_user_header_t header,const cap_user_data_t data,,,,
130,rt_sigsuspend,ok,long,2,sigset_t * unewset,size_t sigsetsize,,,,
132,utime,ok,long,2,char * filename,struct utimbuf * times,,,,
133,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
135,personality,ok,long,1,unsigned int personality,,,,,
136,ustat,ok,long,2,unsigned dev,struct ustat * ubuf,,,,
137,statfs,ok,long,2,const char * pathname,struct statfs * buf,,,,
138,fstatfs,ok,long,2,unsigned int fd,struct statfs * buf,,,,
139,sysfs,ok,long,3,int option,unsigned long arg1,unsigned long arg2,,,
140,getpriority,ok,long,2,int which,int who,,,,
141,setpriority,ok,long,3,int which,int who,int niceval,,,
142,sched_setparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
143,sched_getparam,ok,long,2,pid_t pid,struct sched_param * param,,,,
144,sched_setscheduler,ok,long,3,pid_t pid,int policy,struct sched_param * param,,,
145,sched_getscheduler,ok,long,1,pid_t pid,,,,,
146,sched_get_priority_max,ok,long,1,int policy,,,,,
147,sched_get_priority_min,ok,long,1,int policy,,,,,
148,sched_rr_get_interval,ok,long,2,pid_t pid,struct __kernel_timespec * interval,,,,
149,mlock,ok,long,2,unsigned long start,size_t len,,,,
150,munlock,ok,long,2,unsigned long start,size_t len,,,,
151,mlockall,ok,long,1,int flags,,,,,
152,munlockall,ok,long,0,,,,,,
153,vhangup,ok,long,0,,,,,,
154,modify_ldt,ok,long,3,int func,void * ptr,unsigned long bytecount,,,
155,pivot_root,ok,long,2,const char * new_root,const char * put_old,,,,
157,prctl,ok,long,5,int option,unsigned long arg2,unsigned long arg3,unsigned long arg4,unsigned long arg5,
158,arch_prctl,ok,long,2,int option,unsigned long arg2,,,,
159,adjtimex,ok,long,1,struct __kernel_timex * txc_p,,,,,
160,setrlimit,ok,long,2,unsigned int resource,struct rlimit * rlim,,,,
161,chroot,ok,long,1,const char * filename,,,,,
162,sync,ok,long,0,,,,,,
163,acct,ok,long,1,const char * name,,,,,
164,settimeofday,ok,long,2,struct __kernel_old_timeval * tv,struct timezone * tz,,,,
165,mount,ok,long,5,char * dev_name,char * dir_name,char * type,unsigned long flags,void * data,
166,umount2,ok,long,2,char * name,int flags,,,,
167,swapon,ok,long,2,const char * specialfile,int swap_flags,,,,
168,swapoff,ok,long,1,const char * specialfile,,,,,
169,reboot,ok,long,4,int magic1,int magic2,unsigned int cmd,void * arg,,
170,sethostname,ok,long,2,char * name,int len,,,,
171,setdomainname,ok,long,2,char * name,int len,,,,
172,iopl,ok,long,1,unsigned int level,,,,,
173,ioperm,ok,long,3,unsigned long from,unsigned long num,int turn_on,,,
175,init_module,ok,long,3,void * umod,unsigned long len,const char * uargs,,,
176,delete_module,ok,long,2,const char * name_user,unsigned int flags,,,,
179,quotactl,ok,long,4,unsigned int cmd,const char * special,qid_t id,void * addr,,
181,getpmsg,todo,,,,,,,,
182,putpmsg,todo,,,,,,,,
183,afs_syscall,todo,,,,,,,,
184,tuxcall,todo,,,,,,,,
185,security,todo,,,,,,,,
186,gettid,ok,long,0,,,,,,
187,readahead,ok,long,3,int fd,loff_t offset,size_t count,,,
188,setxattr,ok,long,5,const char * pathname,const char * name,const void * value,size_t size,int flags,
189,lsetxattr,ok,long,5,const char * pathname,const char * name,const void * value,size_t size,int flags,
190,fsetxattr,ok,long,5,int fd,const char * name,const void * value,size_t size,int flags,
191,getxattr,ok,long,4,const char * pathname,const char * name,void * value,size_t size,,
192,lgetxattr,ok,long,4,const char * pathname,const char * name,void * value,size_t size,,
193,fgetxattr,ok,long,4,int fd,const char * name,void * value,size_t size,,
194,listxattr,ok,long,3,const char * pathname,char * list,size_t size,,,
195,llistxattr,ok,long,3,const char * pathname,char * list,size_t size,,,
196,flistxattr,ok,long,3,int fd,char * list,size_t size,,,
197,removexattr,ok,long,2,const char * pathname,const char * name,,,,
198,lremovexattr,ok,long,2,const char * pathname,const char * name,,,,
199,fremovexattr,ok,long,2,int fd,const char * name,,,,
