nr,name,status,return_type,param_count,param1,param2,param3,param4,param5,param6
0,spill,todo,,,,,,,,
1,xtensa,todo,,,,,,,,
2,available4,todo,,,,,,,,
3,available5,todo,,,,,,,,
4,available6,todo,,,,,,,,
5,available7,todo,,,,,,,,
6,available8,todo,,,,,,,,
7,available9,todo,,,,,,,,
8,open,ok,long,3,const char * filename,int flags,umode_t mode,,,
9,close,ok,long,1,unsigned int fd,,,,,
10,dup,ok,long,1,unsigned int fildes,,,,,
11,dup2,ok,long,2,unsigned int oldfd,unsigned int newfd,,,,
12,read,ok,long,3,unsigned int fd,char * buf,size_t count,,,
13,write,ok,long,3,unsigned int fd,const char * buf,size_t count,,,
14,select,ok,long,5,int n,fd_set * inp,fd_set * outp,fd_set * exp,struct __kernel_old_timeval * tvp,
15,lseek,ok,long,3,unsigned int fd,off_t offset,unsigned int whence,,,
16,poll,ok,long,3,struct pollfd * ufds,unsigned int nfds,int timeout_msecs,,,
17,_llseek,ok,long,5,unsigned int fd,unsigned long offset_high,unsigned long offset_low,loff_t * result,unsigned int whence,
18,epoll_wait,ok,long,4,int epfd,struct epoll_event * events,int maxevents,int timeout,,
19,epoll_ctl,ok,long,4,int epfd,int op,int fd,struct epoll_event * event,,
20,epoll_create,ok,long,1,int size,,,,,
21,creat,ok,long,2,const char * pathname,umode_t mode,,,,
22,truncate,ok,long,2,const char * path,long length,,,,
23,ftruncate,ok,long,2,unsigned int fd,unsigned long length,,,,
24,readv,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
25,writev,ok,long,3,unsigned long fd,const struct iovec * vec,unsigned long vlen,,,
26,fsync,ok,long,1,unsigned int fd,,,,,
27,fdatasync,ok,long,1,unsigned int fd,,,,,
28,truncate64,ok,long,2,const char * path,loff_t length,,,,
29,ftruncate64,ok,long,2,unsigned int fd,loff_t length,,,,
30,pread64,ok,long,4,unsigned int fd,char * buf,size_t count,loff_t pos,,
31,pwrite64,ok,long,4,unsigned int fd,const char * buf,size_t count,loff_t pos,,
32,link,ok,long,2,const char * oldname,const char * newname,,,,
33,rename,ok,long,2,const char * oldname,const char * newname,,,,
34,symlink,ok,long,2,const char * oldname,const char * newname,,,,
35,readlink,ok,long,3,const char * path,char * buf,int bufsiz,,,
36,mknod,ok,long,3,const char * filename,umode_t mode,unsigned dev,,,
37,pipe,ok,long,1,int * fildes,,,,,
38,unlink,ok,long,1,const char * pathname,,,,,
39,rmdir,ok,long,1,const char * pathname,,,,,
40,mkdir,ok,long,2,const char * pathname,umode_t mode,,,,
41,chdir,ok,long,1,const char * filename,,,,,
42,fchdir,ok,long,1,unsigned int fd,,,,,
43,getcwd,ok,long,2,char * buf,unsigned long size,,,,
44,chmod,ok,long,2,const char * filename,umode_t mode,,,,
45,chown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
46,stat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
47,stat64,ok,long,2,const char * filename,struct stat64 * statbuf,,,,
48,lchown,ok,long,3,const char * filename,uid_t user,gid_t group,,,
49,lstat,ok,long,2,const char * filename,struct __old_kernel_stat * statbuf,,,,
50,lstat64,ok,long,2,const char * filename,struct stat64 * statbuf,,,,
51,available51,todo,,,,,,,,
52,fchmod,ok,long,2,unsigned int fd,umode_t mode,,,,
53,fchown,ok,long,3,unsigned int fd,uid_t user,gid_t group,,,
54,fstat,ok,long,2,unsigned int fd,struct __old_kernel_stat * statbuf,,,,
55,fstat64,ok,long,2,unsigned long fd,struct stat64 * statbuf,,,,
56,flock,ok,long,2,unsigned int fd,unsigned int cmd,,,,
57,access,ok,long,2,const char * filename,int mode,,,,
58,umask,ok,long,1,int mask,,,,,
59,getdents,ok,long,3,unsigned int fd,struct linux_dirent * dirent,unsigned int count,,,
60,getdents64,ok,long,3,unsigned int fd,struct linux_dirent64 * dirent,unsigned int count,,,
